SYS,ASY,COMP,"Description ",CompCode9Digit,Obsolete,"Comments "
0,0,0,"Cab, Climate Control, Instrumentation, & Aerodynamic Devices Group",000-000-000,,
1,0,0,"Air Conditioning, Heating & Ventilating System",001-000-000,,
1,1,0,"Air Conditioning Assembly - Complete",001-001-000,,
1,1,1,"Air Conditioning Assembly",001-001-001,,
1,1,2,"Compressor - Air Conditioning",001-001-002,,
1,1,3,"Cylinder Assembly - Compressor",001-001-003,,
1,1,4,"Cylinder & Shaft Assembly - Compressor",001-001-004,,
1,1,5,"Bearing - Compressor Shaft",001-001-005,,
1,1,6,"Piston - Compressor, HVAC System",001-001-006,,"updated by JP"
1,1,7,"Piston Ring - Compressor",001-001-007,,
1,1,8,"Shaft - Main Compressor",001-001-008,,
1,1,9,"Ball - Piston Drive",001-001-009,,
1,1,10,"Head - Compressor, Front",001-001-010,,
1,1,11,"Head - Compressor, Rear",001-001-011,,
1,1,12,"Shell - Compressor",001-001-012,,
1,1,13,"Disc - Shoe",001-001-013,,
1,1,14,"Thrust Bearing - Needle",001-001-014,,
1,1,15,"Race - Thrust Bearing",001-001-015,,
1,1,16,"O-Ring - Shell To Head",001-001-016,,
1,1,17,"Gear - Oil Pump, Compressor, HVAC",001-001-017,,"updated by JP"
1,1,18,"Tube - Oil Pickup",001-001-018,,
1,1,19,"O-Ring - Oil Pickup Tube",001-001-019,,
1,1,20,"Outlet - Compressor Oil Test",001-001-020,,
1,1,21,"Pressure Relief Valve - Compressor, HVAC ",001-001-021,,"updated by JP"
1,1,22,"Gasket - Pressure Relief Valve, Compressor, HVAC",001-001-022,,"updated by JP"
1,1,23,"Suction Valve Assembly -  Reed Valves, Front & Rear",001-001-023,,
1,1,24,"Cover - Suction Crossover",001-001-024,,
1,1,25,"Screen - Suction",001-001-025,,
1,1,26,"Discharge Valve Assembly - Reed Valves, Front & Rear",001-001-026,,
1,1,27,"Tube - Discharge Crossover",001-001-027,,
1,1,28,"O-Ring - Discharge Crossover Tube",001-001-028,,
1,1,29,"Bushing - Discharge Crossover Tube",001-001-029,,
1,1,30,"Seal - Compressor Shaft, Air Conditioning ",001-001-030,,
1,1,31,"Seal - Seat, Compressor Shaft",001-001-031,,
1,1,32,"Retaining Ring - Compressor Shaft Seal Seat",001-001-032,,
1,1,33,"O-Ring - Shaft Seat Retainer",001-001-033,,
1,1,34,"Clutch Assembly - Air Conditioning Compressor",001-001-034,,"updated by JP"
1,1,35,"Coil - Air Conditioning Clutch",001-001-035,,"updated by JP"
1,1,36,"Retainer - Coil",001-001-036,,
1,1,37,"Pulley - Driven, Air Conditioning Compressor ",001-001-037,,"(See 042-004-040)"
1,1,38,"Bearing - Pulley, A/C Compressor",001-001-038,,"updated by JP"
1,1,39,"Retaining Ring - Pulley Bearing",001-001-039,,
1,1,40,"Control Cable - Suction Throttling Valve",001-001-040,,
