VMRSCode,"Long Description","Short Description ",Obsolete,Comments
ONENA,"1 Nation Technology","1 Nation Technology",,
RADTR,"1-800 Radiator ","1-800 Radiator",,
AYDXX,"1ST AYD Corporation","1ST AYD Corporation",,
TFSSE,"247 Security","247 Security",,"Requested by Parts River "
TDRNG,"3-D RANGER INDUSTRIES CORP.",,,
TZTPR,"303 Products Inc","303 Products",,"Requested by TMW"
TMCPC,"3M CONSUMER PRODUCTS CORP.",,,"Replaces - MNNMN"
TMSTA,"3M Standard Abrasives","3M Standard Abrasives",,
FSTXX,"4 State Trucks","4 State Trucks",,
FOURW,"4 Wheel Parts","4 Wheel Parts",,
FOURS,"4 Wheelers Supply","4 Wheelers Supply",,
FSXAB,"5 Star Xtreme Autobody Products ","5 Star Xtreme Autobody Products ",,
AANDA,"A & A Wiping Cloth Inc","A & A Wiping Cloth Inc",,
AATTS,"A and A Truck and Trailer Supply","A and A Truck and Trailer Supply",,
ABCHN,"A.B. Chance","A.B. Chance",,
ABDEB,"A & B Deburring Co ","A & B Deburring Co",,
ACSPR,"A. C. Spark Plug div. of GMC","A. C. Spark Plug div. of GMC",,
AECLV,"A.E. Clevite Engine Parts Co.",AEClevite,YES," Obsolete - use CLVTE"
AETLS,"A & E Tools Inc","A & E Tools",,
AIFST,"A & I Fastener & Supply","A & I Fastener & Supply",,
AIPRD,"A & I Products","A & I Products",,
AJBUS,"A J Bus","A J Bus",,"Requested by Parts River "
ALFLT,"A L Filter","A L Filter",,"Requested by TMW"
ALFRE,"A L Frederick","A L Frederick",,
ALLEE,"A L Lee Corporation","A L Lee Corporation",,
ALLIT,"A L Lightech Inc","A L Lightech",,
LIGHT,"A L Lightech Inc","A L Lightech",YES,"Obsolete - use ALLIT"
ALMAN,"A & L Machining ","A & L Machining",,
ALSYS,"A & L Systems, Inc.","A&L Systems",,
ALINE,"A Line Auto Parts","A Line Auto Parts",,
AMSYS,"A & M Systems Inc","A & M Systems",,
AOSMI,"A O Smith Inc","A O Smith",,
APPRT,"A.P. Parts","A.P. Parts",,
APLUS,"A Plus Warehouse","A Plus Warehouse",,
ARLRN,"A R Lintern Inc.","A R Lintern",,"requested by KirknationaLease"
ARTMS,"A R Thompson ","A R Thompson",,
AANDR,"A & R Transport","A & R Transport",,
TINRM,"A Raymond Tinnerman Products Inc","Tinnerman Products",,
CHSTR,"A W Chesterton Company","A W Chesterton",,
ACCBT,"A-1 Clutch, Brake & Transmission, Inc","A-1 Clutch, Brake & Transmission",,"Requested by TMW "
ACCUP,"A-1 Coupling","A-1 Coupling",,"Requested by TMW"
APXXX,"A-1 Parts","A-1 Parts",,"Requested by TMW"
ABECI,"A-BEC Industries (Abrasive Blast Equipment)","A-BEC Industries",,
ATCNT,"A-T Controls Inc","A-T Controls Inc",,
ACIND,"A/C Industries","A/C Industries",,"Requested by Parts River "
AHWLD,"A/H Welding ","A/H Welding ",,
AAFBG,"A1 Fiberglass ","A1 Fiberglass",,
AONES,"A1 Smog","A1 Smog",,
ATLCM,"A1 Telecom","A1 Telecom",,
AANDM,"AA and M Electronics","AA and M Electronics",,
AFLAM,"AAA Flame Cut Steel Inc","AAA Flame Cut Steel Inc",,
AAAXX,"AAA Parts","AAA Parts",,
AAAPR,"AAA Products International","AAA Products",,
AAATP,"AAA Tarps","AAA Tarps",,
AALDN,"Aaladin Cleaning Systems",Aaladin,,"Requested by FedEx"
AAMCO,"AAMCO Control-O-Temp","AAMCO Control-O-Temp",,
AAMPX,"AAMP of America","AAMP of America",,
AMAST,"Aamstrand Rope & Twine","Aamstrand Rope & Twine",,
AAPCO,AAPCO,AAPCO,,
AARPW,"AAR Power Boss Inc ",,,
VLVPN,"AB Volvo Penta","AB Volvo Penta",,"Requested by David Foster, SEFL"
ABAAM,"ABA of America, Inc.",ABA,,
ABBHN,"ABB Henschel","ABB Henschel",,
ABBIN,"ABB Inc","ABB Inc",,
ABBTC,"Abbotec Inc",Abbotec,,
ABTRB,"Abbott Rubber Company Inc","Abbott Rubber Company Inc",,
ABBXX,"Abbott Tachograph","Abbott Tachograph",,
ABICX,"Abbott-Interfast Corporation",Abbott-Interfast,,
ABBYX,"Abby Manufacturing","Abby Manufacturing",,
ABCBU,"ABC Bus","ABC Bus",,
ABCGP,"ABC Group","ABC Group",,
ABCSU,"ABC Supply","ABC Supply",,
ABCTX,"ABC Technologies","ABC Technologies",,
ABHWE,Abell-Howe,Abell-Howe,,
ABERD,"Aberdeen Dynamics","Aberdeen Dynamics",,
ABEXX,"Abex Corporation",Abex,,
ABIMW,"ABI Mowers","ABI Mowers",,"Requested by Parts River"
ABLEX,"Able 2 Products Co","Able 2 Products",,
ABLBD,"Able Body Co, Inc ","Able Body Co.",,
ABLOY,"Abloy Security, Inc.",Abloy,,"Requested by FedEx"
ABSUP,"Abrasive Supply Company Inc","Abrasive Supply Company Inc",,
ABSCO,"ABSCO - Auto Brake Specialties Co.",ABSCO,,
ABSOL,"Absolute Auto Glass","Absolute Auto Glass",,
ABSOR,"Absorbents Mfg Group","Absorbents Mfg Group",,
ACDLC,"AC Delco Inc","AC Delco",,
ACTMN,"AC Terminals, Inc.","AC Terminals",,"1106 Burns StLatrobe, Pa. 15650Requested by Kirk NationaLease"
ACDIA,Acadia,Acadia,,
ACAMT,"ACAM Technology",ACAM,,
ACCXX,"ACC Climate Control","ACC Climate Control",,
ACCEL,"Accel Brand div of Warren Performance",Accel,,
ACLPG,"Accel Performance Group","Accel Performance Group",,
ACNTW,"Accent Wire","Accent Wire",,
ACCTL,"Access Tools","Access Tools",,
ACPLS,"Accessories Plus","Accessories Plus",,
ACCSS,"ACCESSORY CONTROL & EQUIP CO.",,,
ACCOX,"Acco Chain & Lifting Products",Acco,,"Requested by Fed Ex"
ACUPR,"Accu Pressure Safety Products","Accu Pressure Safety Products",,
ACUCH,AccuChem,AccuChem,,
ACCUF,Accuform,Accuform,,
ACMTR,"Accumetric Inc",Accumetric,,"Requested by Parts River "
ACUMI,"Accumulators Inc","Accumulators Inc",,
ACPRT,"Accupart International",Accupart,,"Requested by FedEx"
ACCIN,"Accurate Industries Inc","Accurate Industries",,
ACCMN,"ACCURATE M.F.G. PRODUCTS LTD.",,,
ACURT,"Accurate Parts","Accurate Parts",,
"ACCRP ","Accurate Rubber Products Inc","Accurate Rubber Products",,
ACCTR,"Accurate Transmissions","Accurate Transmissions",,"Requested by Parts River "
ACCCR,"Accuride Corporation",Accuride,,
ACCCN,"Accuride Corporation (Canada)","Accuride ",,"Requested by Parts River "
ACCST,"Accustrip Co Inc","Accustrip Co Inc",,
ACCDS,"Accutech Design Limit","Accutech Design Limit",,
ACCTK,"Accutek Industries","Accutek Industries",,
ACUTR,"AccuTru Inc",AccuTru,,
AARAD,"Ace Auto Radiator","Ace Auto Radiator",,
ACEEC,"ACE Electric Company ","ACE Electric ",,
ACEXX,"ACE Filter","ACE Filter",,
ACEHW,"Ace Hardware Inc","Ace Hardware Inc",,
AHRCX,"Ace Hose & Rubber Company","Ace Hose & Rubber",,
ACEID,"Ace Industries","Ace Industries",,
ACEIN,"ACE International","ACE International",,
ACEMP,"Ace Manufacturing and Parts Company, Inc.","Ace Manufacturing",,"Vendor initiated request.300 Ramsey StreetSullivan, MO 63080"
ACEPT,"ACE Paint","ACE Paint",,
ACETK,"Ace Tank & Equipment","Ace Tank",,"Requested by FedEx"
ACFTP,"ACE Tarp & Awning","ACE Tarp & Awning",,
ACEWL,"Ace Welding","Ace Welding",,"Requested by Rich Viehdorfer, National Grid"
ACEIX,ACEI,ACEI,,
ACERE,"Acer Electronics","Acer Electronics",,
ACFXX,"ACF Brillbus","ACF Brillbus",,
ACIAX,"ACI Automotive","ACI Automotive",,
ACKER,"Acker Drill Co","Acker Drill",,
ACKLG,"Acklands - Grainger","Acklands - Grainger",,
ACLXX,"ACL Distribution Inc","ACL Distribution",,
ACALT,"Acme Alternate Fuels","Acme Alternate Fuels",,
ACMEA,"ACME Auto Electric","ACME Auto Electric",,
ACMXX,"Acme Automotive","Acme Automotive",,
ACMEC,"Acme Cryogenics","Acme Cryogenics",,
ACMEX,"ACME Dynamicx","ACME Dynamicx",,"Requested by Parts River JP "
ACMEM,"ACME Machinery","ACME Machinery",,
ACMEQ,"Acme Quality Products","Acme Quality Products",,
ARACI,"ACME Radiator and Air Conditioning, Inc",ACME,,"79 North 10 StreetKansas City, KS 66102requested by SEFLupdated by mrw"
ASPMF,"Acme Speciality Manufacturing Co","Acme Speciality Mfg",,
ACMES,"ACME Spring Automotive Specialists","ACME Spring",,
ACPWS,"Acopian Power Supplies","Acopian Power Supplies",,
